texto,label
"Paciente com febre alta e rigidez de nuca, suspeita de meningite.",urgente
"Pequena ferida com sinais iniciais de inflamação, sem pus. Sem histórico médico relevante.",atencao
"Paciente com febre alta e rigidez de nuca, suspeita de meningite. Acompanhado por familiar.",urgente
"Queixa de dor abdominal leve a moderada, sem sinais de alarme. Paciente do sexo masculino, 62 anos.",atencao
"Hemograma completo dentro da normalidade, sem sinais de infecção. Acompanhado por familiar.",normal
"Vacinação de rotina realizada sem intercorrências. Paciente do sexo masculino, 62 anos.",normal
"Paciente comparece para avaliação preventiva anual, tudo normal. Histórico de comorbidades relatado.",normal
"Queixa de dor abdominal leve a moderada, sem sinais de alarme. Acompanhado por familiar.",atencao
Exame oftalmológico de rotina sem achados relevantes.,normal
"Paciente com febre baixa persistente há 3 dias, sem outros sintomas graves.",atencao
"Paciente relata tosse persistente há uma semana, sem falta de ar. Paciente do sexo feminino, 45 anos.",atencao
"Queixa de dor abdominal leve a moderada, sem sinais de alarme. Paciente do sexo masculino, 62 anos.",atencao
"Hemorragia intensa, paciente com sinais de choque hipovolêmico. Sem histórico médico relevante.",urgente
Sinais de acidente vascular cerebral: perda de força e fala arrastada. Acompanhado por familiar.,urgente
"Queixa de dor abdominal leve a moderada, sem sinais de alarme. Paciente do sexo masculino, 62 anos.",atencao
"Raio-x de tórax sem alterações, paciente assintomático. Encaminhado pelo pronto atendimento.",normal
"Paciente relata check-up de rotina, sem queixas relevantes. Acompanhado por familiar.",normal
"Politraumatismo grave após queda de altura, necessita intervenção imediata.",urgente
"Paciente comparece para avaliação preventiva anual, tudo normal. Sem histórico médico relevante.",normal
"Glicemia de jejum levemente alterada, indicado acompanhamento nutricional. Histórico de comorbidades relatado.",atencao
"Sinais vitais instáveis, saturação de oxigênio criticamente baixa. Sem histórico médico relevante.",urgente
Paciente relata cansaço e mal-estar leve nos últimos dias. Histórico de comorbidades relatado.,atencao
"Dor lombar moderada, sem sinais neurológicos associados. Encaminhado pelo pronto atendimento.",atencao
"Glicemia de jejum levemente alterada, indicado acompanhamento nutricional. Acompanhado por familiar.",atencao
"Paciente relata bem-estar geral, sinais vitais normais. Encaminhado pelo pronto atendimento.",normal
"Paciente relata tosse persistente há uma semana, sem falta de ar. Sem histórico médico relevante.",atencao
"Dor lombar moderada, sem sinais neurológicos associados.",atencao
"Paciente relata cansaço e mal-estar leve nos últimos dias. Paciente do sexo feminino, 45 anos.",atencao
"Dor lombar moderada, sem sinais neurológicos associados. Paciente do sexo feminino, 45 anos.",atencao
Paciente com histórico de alergia relata leve reação cutânea. Acompanhado por familiar.,atencao
Sinais de acidente vascular cerebral: perda de força e fala arrastada. Sem histórico médico relevante.,urgente
"Politraumatismo grave após queda de altura, necessita intervenção imediata. Sem histórico médico relevante.",urgente
"Hemorragia intensa, paciente com sinais de choque hipovolêmico. Histórico de comorbidades relatado.",urgente
